公益性纯免费App，无密码，不推广，看到请别公开，谢谢！

移动央卫,#genre#
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4中文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-12社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-16奥林,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8

联通央卫,#genre#
CCTV-1,http://dp.sxtv.top:88/live/bestv.php?id=cctv1
CCTV-2,http://dp.sxtv.top:88/live/bestv.php?id=cctv2
CCTV-3,http://dp.sxtv.top:88/live/bestv.php?id=cctv3
CCTV-4,http://dp.sxtv.top:88/live/bestv.php?id=cctv4
CCTV-5,http://dp.sxtv.top:88/live/bestv.php?id=cctv5
CCTV-6,http://dp.sxtv.top:88/live/bestv.php?id=cctv6
CCTV-7,http://dp.sxtv.top:88/live/bestv.php?id=cctv7
CCTV-8,http://dp.sxtv.top:88/live/bestv.php?id=cctv8
CCTV-9,http://dp.sxtv.top:88/live/bestv.php?id=cctv9
CCTV-10,http://dp.sxtv.top:88/live/bestv.php?id=cctv10
CCTV-11,http://dp.sxtv.top:88/live/bestv.php?id=cctv11
CCTV-12,http://dp.sxtv.top:88/live/bestv.php?id=cctv12
CCTV-13,http://dp.sxtv.top:88/live/bestv.php?id=cctv13
CCTV-14,http://dp.sxtv.top:88/live/bestv.php?id=cctv14
CCTV-15,http://dp.sxtv.top:88/live/bestv.php?id=cctv15
CCTV-16,http://dp.sxtv.top:88/live/bestv.php?id=cctv16
CCTV-16,http://dp.sxtv.top:88/live/bestv.php?id=cctv164k
CCTV-17,http://dp.sxtv.top:88/live/bestv.php?id=cctv17
CCTV-5+,http://dp.sxtv.top:88/live/bestv.php?id=cctv5p
CCTV-5+,http://dp.sxtv.top:88/live/bestv.php?id=cctv5p2
CCTV-4K,http://dp.sxtv.top:88/live/bestv.php?id=cctv4k
CGTN,http://dp.sxtv.top:88/live/bestv.php?id=cgtn
中国教育1台,http://dp.sxtv.top:88/live/bestv.php?id=zgjy1
中国教育2台,http://dp.sxtv.top:88/live/bestv.php?id=zgjy2
中国教育4台,http://dp.sxtv.top:88/live/bestv.php?id=zgjy4
广西卫视,http://dp.sxtv.top:88/live/bestv.php?id=gxws
广东卫视,http://dp.sxtv.top:88/live/bestv.php?id=gdws
深圳卫视,http://dp.sxtv.top:88/live/bestv.php?id=szws
海南卫视,http://dp.sxtv.top:88/live/bestv.php?id=hainan
三沙卫视,http://dp.sxtv.top:88/live/bestv.php?id=ssws
云南卫视,http://dp.sxtv.top:88/live/bestv.php?id=ynws
贵州卫视,http://dp.sxtv.top:88/live/bestv.php?id=gzws
东南卫视,http://dp.sxtv.top:88/live/bestv.php?id=dnws
厦门卫视,http://dp.sxtv.top:88/live/bestv.php?id=xmws
江西卫视,http://dp.sxtv.top:88/live/bestv.php?id=jxws
安徽卫视,http://dp.sxtv.top:88/live/bestv.php?id=ahws
湖南卫视,http://dp.sxtv.top:88/live/bestv.php?id=hunan
湖北卫视,http://dp.sxtv.top:88/live/bestv.php?id=hubei
河南卫视,http://dp.sxtv.top:88/live/bestv.php?id=hnws
河北卫视,http://dp.sxtv.top:88/live/bestv.php?id=hbws
重庆卫视,http://dp.sxtv.top:88/live/bestv.php?id=cqws
四川卫视,http://dp.sxtv.top:88/live/bestv.php?id=scws
浙江卫视,http://dp.sxtv.top:88/live/bestv.php?id=zjws
江苏卫视,http://dp.sxtv.top:88/live/bestv.php?id=jsws
东方卫视,http://dp.sxtv.top:88/live/bestv.php?id=dfws
东方卫视,http://dp.sxtv.top:88/live/bestv.php?id=zqpd
山东卫视,http://dp.sxtv.top:88/live/bestv.php?id=sdws
北京卫视,http://dp.sxtv.top:88/live/bestv.php?id=bjws
天津卫视,http://dp.sxtv.top:88/live/bestv.php?id=tjws
辽宁卫视,http://dp.sxtv.top:88/live/bestv.php?id=lnws
吉林卫视,http://dp.sxtv.top:88/live/bestv.php?id=jlws
黑龙江卫视,http://dp.sxtv.top:88/live/bestv.php?id=hljws
陕西卫视,http://dp.sxtv.top:88/live/bestv.php?id=sxws
山西卫视,http://dp.sxtv.top:88/live/bestv.php?id=shanxi
